name,genre,type,episodes,rating
kimi no na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37
fullmetal alchemist: brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26
gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25
steins;gate,"Sci-Fi, Thriller",TV,24,9.17
gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16
haikyuu!!: karasuno koukou vs shiratorizawa gakuen koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15
hunter x hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13
ginga eiyuu densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11
gintama movie: kanketsu-hen - yorozuya yo eien nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1
gintama&#039;: enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11
clannad: after story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06
koe no katachi,"Drama, School, Shounen",Movie,1,9.05
gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04
code geass: hangyaku no lelouch r2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98
haikyuu!! second season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93
sen to chihiro no kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93
shigatsu wa kimi no uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92
mushishi zoku shou 2nd season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88
ookami kodomo no ame to yuki,"Fantasy, Slice of Life",Movie,1,8.84
code geass: hangyaku no lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83
hajime no ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83
rurouni kenshin: meiji kenkaku romantan - tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83
cowboy bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82
one punch man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82
mononoke hime,"Action, Adventure, Fantasy",Movie,1,8.81
suzumiya haruhi no shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81
monogatari series: second season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8
mushishi zoku shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8
mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78
tengen toppa gurren lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78
great teacher onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77
natsume yuujinchou go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76
hajime no ippo: new challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75
mushishi zoku shou: suzu no shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75
natsume yuujinchou shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75
howl no ugoku shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74
fate/zero 2nd season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73
kizumonogatari ii: nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73
monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72
bakuman. 3rd season,"Comedy, Drama, Romance, Shounen",TV,25,8.71
death note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71
gintama°: aizome kaori-hen,"Comedy, Parody",OVA,2,8.69
ansatsu kyoushitsu (tv) 2nd season,"Action, Comedy, School, Shounen",TV,25,8.68
